Date,ADS_Index
1961:11:17,1.68189
1961:11:18,1.66715
1961:11:19,1.65102
1961:11:20,1.6335
1961:11:21,1.61457
1961:11:22,1.59424
1961:11:23,1.5725
1961:11:24,1.54933
1961:11:25,1.52474
1961:11:26,1.49872
1961:11:27,1.47125
1961:11:28,1.44233
1961:11:29,1.41195
1961:11:30,1.38011
1961:12:01,1.34678
1961:12:02,1.31292
1961:12:03,1.27852
1961:12:04,1.24357
1961:12:05,1.20806
1961:12:06,1.17198
1961:12:07,1.13531
1961:12:08,1.09805
1961:12:09,1.06018
1961:12:10,1.02169
1961:12:11,0.982566
1961:12:12,0.9428
1961:12:13,0.902379
1961:12:14,0.861288
1961:12:15,0.819515
1961:12:16,0.777048
1961:12:17,0.733872
1961:12:18,0.689975
1961:12:19,0.645341
1961:12:20,0.599958
1961:12:21,0.553811
1961:12:22,0.506885
1961:12:23,0.459167
1961:12:24,0.41064
1961:12:25,0.361289
1961:12:26,0.311099
1961:12:27,0.260055
1961:12:28,0.20814
1961:12:29,0.155338
1961:12:30,0.101632
1961:12:31,0.0470056
1962:01:01,-0.00855862
1962:01:02,-0.0595252
1962:01:03,-0.10591
1962:01:04,-0.147728
1962:01:05,-0.184992
1962:01:06,-0.217714
1962:01:07,-0.245904
1962:01:08,-0.269571
1962:01:09,-0.288722
1962:01:10,-0.303363
1962:01:11,-0.3135
1962:01:12,-0.319135
1962:01:13,-0.32027
1962:01:14,-0.316905
1962:01:15,-0.309039
1962:01:16,-0.29667
1962:01:17,-0.279794
1962:01:18,-0.258406
1962:01:19,-0.232498
1962:01:20,-0.202064
1962:01:21,-0.167092
1962:01:22,-0.127573
1962:01:23,-0.0834929
1962:01:24,-0.0348391
1962:01:25,0.018404
1962:01:26,0.0762533
1962:01:27,0.138727
1962:01:28,0.205844
1962:01:29,0.277627
1962:01:30,0.354097
1962:01:31,0.435278
1962:02:01,0.521197
1962:02:02,0.602526
1962:02:03,0.67929
1962:02:04,0.751513
1962:02:05,0.819218
1962:02:06,0.882427
1962:02:07,0.94116
1962:02:08,0.995434
1962:02:09,1.04527
1962:02:10,1.09067
1962:02:11,1.13167
1962:02:12,1.16827
1962:02:13,1.20048
1962:02:14,1.22831
1962:02:15,1.25178
1962:02:16,1.27088
1962:02:17,1.28564
1962:02:18,1.29604
1962:02:19,1.30209
1962:02:20,1.3038
1962:02:21,1.30117
1962:02:22,1.29419
1962:02:23,1.28286
1962:02:24,1.26718
1962:02:25,1.24715
1962:02:26,1.22275
1962:02:27,1.19398
1962:02:28,1.16084
1962:03:01,1.12331
1962:03:02,1.08741
1962:03:03,1.05313
1962:03:04,1.02047
1962:03:05,0.989408
1962:03:06,0.959939
1962:03:07,0.932055
1962:03:08,0.905744
1962:03:09,0.881
1962:03:10,0.857815
1962:03:11,0.83618
1962:03:12,0.816091
1962:03:13,0.797539
1962:03:14,0.780519
1962:03:15,0.765027
1962:03:16,0.751056
1962:03:17,0.738603
1962:03:18,0.727664
1962:03:19,0.718236
1962:03:20,0.710314
1962:03:21,0.703898
1962:03:22,0.698984
1962:03:23,0.695572
1962:03:24,0.69366
1962:03:25,0.693247
1962:03:26,0.694334
1962:03:27,0.696921
1962:03:28,0.701009
1962:03:29,0.706598
1962:03:30,0.713692
1962:03:31,0.722291
1962:04:01,0.732399
1962:04:02,0.740675
1962:04:03,0.747124
1962:04:04,0.751746
1962:04:05,0.754543
1962:04:06,0.755516
1962:04:07,0.754665
1962:04:08,0.75199
1962:04:09,0.747491
1962:04:10,0.741165
1962:04:11,0.73301
1962:04:12,0.723025
1962:04:13,0.711206
1962:04:14,0.69755
1962:04:15,0.682051
1962:04:16,0.664706
